event,detector,fs,window,whiten,fmin,fmax,smooth_samples,ringdown_start,ringdown_end,t_peak,t_ring_start,t_ring_end,Xi_mean,Xi_std,Xi_dimensionless
GW150914,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.02309560775756840,0.02809560775756840,0.05309560775756840,0.0015314701214415200,0.00016026436040481500,2.515774677190500
GW150914,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.01870107650756840,0.02370107650756840,0.04870107650756840,0.0024146971066006600,0.00031601986720951800,1.9023816889760700
GW151012,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.03066396713256840,0.03566396713256840,0.06066396713256840,0.0022120394702784900,0.00013659959219016200,3.2615507815276000
GW151012,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.10092782974243200,-0.09592782974243160,-0.07092782974243160,0.0013732461764826400,8.68819824550483E-05,2.008054737272160
GW151226,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.19272470474243200,0.19772470474243200,0.22272470474243200,0.002827358746696120,0.0015104712287532500,5.2510607063385100
GW151226,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.30063486099243200,0.30563486099243200,0.33063486099243200,0.0017917491104548000,0.0001914498357308550,2.4412407004378000
GW170104,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.007714748382568360,-0.0027147483825683600,0.02228525161743160,0.001907058946344490,0.0002333162206542280,3.099785043950000
GW170104,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.22719717025756800,-0.22219717025756800,-0.19719717025756800,0.0020673500846434900,0.0006513126901477420,3.5868654538968700
GW170608,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.36572265625,-0.36072265625,-0.33572265625,0.0014563670399342300,0.00013309842439615800,2.5377730524433100
GW170608,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.20068359375,-0.19568359375,-0.17068359375,0.002100966133887140,0.00033375016593726300,2.5747767185450100
GW170729,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.3334472179412840,-0.3284472179412840,-0.30344721794128400,0.0015814305014043200,0.0002501616202444170,2.664853450319050
GW170729,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.0007812976837158200,0.00578129768371582,0.03078129768371580,0.001933592613701400,0.0003595640072348010,2.5132726459173900
GW170809,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.04096674919128420,-0.03596674919128420,-0.01096674919128420,0.0025035839137210000,0.000371510533785718,4.07329069978336
GW170809,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.13691401481628400,-0.13191401481628400,-0.10691401481628400,0.0017373027731569000,0.0005432269834807850,3.8106048902126900
GW170814,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.08837890625,0.09337890625,0.11837890625,0.0023421704184213200,0.0006276050352383140,4.063680468721070
GW170814,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.01904296875,0.02404296875,0.04904296875,0.002191110754802800,0.00037092172376470000,3.4082029187833000
GW170818,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.21420907974243200,0.21920907974243200,0.24420907974243200,0.0014831677372861600,8.38800377506059E-05,1.5356027384936600
GW170818,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.02333974838256840,-0.01833974838256840,0.0066602516174316400,0.002198653206965460,0.0004820420819810460,3.042170885635
GW170823,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.012451171875,0.017451171875,0.042451171875,0.002363231954812840,0.00021907821122790100,4.010107590076430
GW170823,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.0009765625,0.0059765625,0.0309765625,0.0034391989985791000,0.00043824032908216200,4.863240353215630
GW190408_181802,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.4613769054412840,-0.4563769054412840,-0.43137690544128400,0.0014429836045977400,0.00029928219190373500,1.7272800342510500
GW190408_181802,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.01801753044128420,-0.013017530441284200,0.01198246955871580,0.002019220535115210,0.00030090955852155700,2.9772481019755300
GW190412,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.36606454849243200,0.37106454849243200,0.39606454849243200,0.002925322922713820,0.0007216573908150490,4.277607797934810
GW190412,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.06235361099243160,0.06735361099243170,0.09235361099243160,0.0016431853762179200,0.0003226635155491180,2.670877826509280
GW190503_185404,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.00849604606628418,-0.0034960460662841800,0.02150395393371580,0.002150117375794890,0.00042705249869275400,2.544150062714350
GW190503_185404,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.01459956169128420,-0.009599561691284180,0.01540043830871580,0.0023887734618980700,0.00031278360691166200,3.4537808695752700
GW190512_180714,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.25527334213256800,0.26027334213256800,0.2852733421325680,0.0015514244743292000,0.0002778761489578560,2.3035007910921600
GW190512_180714,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.01845693588256840,0.02345693588256840,0.04845693588256840,0.002065661657255620,0.00028067132506738100,3.583936021715090
GW190517_055101,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.01347661018371580,0.01847661018371580,0.04347661018371580,0.0021753780383310000,0.0003667042790582770,2.7685073290301300
GW190517_055101,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.01591801643371580,0.02091801643371580,0.04591801643371580,0.002734490142288020,0.0009517381660862410,4.348994528501450
GW190519_153544,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.03061532974243160,-0.02561532974243160,-0.0006153297424316420,0.0012195115830647300,4.9257165270578E-05,1.4945362428387000
GW190519_153544,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.01547861099243160,-0.01047861099243160,0.014521389007568400,0.0020287450615238400,0.0003097047191105950,2.486268325806030
GW190521,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.05727529525756840,0.06227529525756840,0.08727529525756840,0.0012556228243739400,8.53793251411512E-05,2.0983517773041100
GW190521,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.26303720474243200,-0.25803720474243200,-0.23303720474243200,0.0017670051803714100,0.0003556718968554900,2.24878927068956
GW190521_074359,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.05654287338256840,0.06154287338256840,0.08654287338256840,0.002734056605037170,0.0006692275826760040,3.953004564656460
GW190521_074359,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.04970693588256840,0.05470693588256840,0.07970693588256840,0.0015838852230754300,0.00039875245078428600,2.0157406074537300
GW190602_175927,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.06166982650756840,-0.05666982650756840,-0.03166982650756840,0.0021369295456650600,0.0004339111319517750,4.888521140470000
GW190602_175927,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.01748037338256840,-0.012480373382568400,0.01251962661743160,0.002408452871887500,0.0005758001376387170,2.410479840910130
GW190620_030421,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.01054692268371580,0.015546922683715800,0.04054692268371580,0.0019984623100011800,0.0015690625687406800,3.0057826066848000
GW190630_185205,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.07358407974243160,0.07858407974243170,0.10358407974243200,0.0018376197311048400,0.00032197238130943400,2.264019285012720
GW190701_203306,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.467041015625,0.472041015625,0.497041015625,0.0012962397098526600,4.80978004012692E-05,2.235459265058330
GW190701_203306,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.114501953125,-0.109501953125,-0.084501953125,0.002071778442465440,0.00046791547967925100,1.9994677047444900
GW190706_222641,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.01591801643371580,0.02091801643371580,0.04591801643371580,0.0022795467741197600,0.0005545470331375700,2.970443008270210
GW190706_222641,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.0002930164337158200,0.00529301643371582,0.03029301643371580,0.0016352199371378300,0.00017293452882015800,0.8530520465046720
GW190707_093326,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.21474599838256800,-0.20974599838256800,-0.18474599838256800,0.002169703451751020,0.00036810152388733,4.545061718580480
GW190707_093326,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.06455087661743160,0.06955087661743170,0.09455087661743160,0.00323318378294999,0.0010003401903256000,3.5408077393384400
GW190708_232457,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.04838871955871580,0.05338871955871580,0.07838871955871580,0.0039969896060736,0.0006611002868061670,3.02547743513072
GW190728_064510,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.061279296875,-0.056279296875,-0.031279296875,0.0019201980894819800,0.0002604946085072090,2.102896931549360
GW190728_064510,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.016845703125,0.021845703125,0.046845703125,0.002596419455842430,0.0004889396547557640,4.265186912183940
GW190828_063405,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.05097651481628420,0.05597651481628420,0.08097651481628420,0.0014279041458145800,0.00010469530858064900,1.9547040896638300
GW190828_063405,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.05122065544128420,0.05622065544128420,0.08122065544128420,0.003733735982396900,0.00129648789094845,4.600108567734040
GW190828_065509,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.3485839366912840,-0.3435839366912840,-0.31858393669128400,0.0014483153134722800,0.0002709998064216600,2.484915813791670
GW190828_065509,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.4582030773162840,-0.4532030773162840,-0.42820307731628400,0.001742793525102330,0.00015391556558635200,1.7638587010610500
GW190910_112807,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-2.000195264816280,-1.9951952648162800,-1.9701952648162800,nan,nan,nan
GW190910_112807,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.01860356330871580,0.02360356330871580,0.04860356330871580,0.0025396128224509500,0.0007384392993046020,2.7233037605459100
GW190915_235702,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.01835942268371580,-0.01335942268371580,0.011640577316284200,0.0015644206990256100,0.00021312435107170900,1.6197282675360700
GW190915_235702,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.03935551643371580,-0.03435551643371580,-0.009355516433715820,0.00154650031302698,0.0006308895149258330,2.5404650546615500
GW190924_021846,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.5490233898162840,-0.5440233898162840,-0.5190233898162840,0.0021190975657180900,0.0006194354326033600,2.144711135227380
GW190924_021846,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,0.00883793830871582,0.013837938308715800,0.03883793830871580,0.0017517211158814500,0.00018978029099461000,2.3238230306483600
GW190929_012149,H1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.005126953125,-0.0001269531250000000,0.024873046875,0.0012350945789527000,0.0002918199738859680,1.3622701690504500
GW190929_012149,L1,4096.0,4.0,TRUE,30.0,400.0,101,0.005,0.03,-0.00048828125,0.00451171875,0.02951171875,0.0013492066650885700,0.00016983150392269800,2.1701927665749100